Task,Alt,Salary,Location,CompanyType,Growth,WorkLife,JobSecurity,Chosen
209,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
210,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
210,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
211,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
211,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
212,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
212,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
213,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
213,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
214,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
214,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
215,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
215,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
216,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
216,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
217,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
217,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
218,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
218,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
219,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
219,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
220,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
220,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
221,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
221,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
222,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
222,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
223,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
223,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
224,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
224,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
225,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
225,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
226,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
226,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
227,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
227,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
228,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
228,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
229,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
229,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
230,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
230,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
231,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
231,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
232,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
232,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
233,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
233,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
234,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
234,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
235,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
235,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
236,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
236,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
237,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
237,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
238,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
238,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
239,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
239,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
240,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
240,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
241,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
241,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
242,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
242,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
243,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
243,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
244,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
244,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
245,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
245,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
246,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
246,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
247,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
247,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
248,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
248,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
249,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
249,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
250,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
250,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
251,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
251,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
252,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
252,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
253,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
253,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
254,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
254,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
255,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
255,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
256,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
256,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
257,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
257,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
258,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
258,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
259,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
259,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
260,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
260,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
261,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
261,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
262,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
262,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
263,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
263,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
264,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
264,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
265,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
265,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
266,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
266,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
267,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
267,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
268,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
268,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
269,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
269,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
270,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
270,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
271,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
271,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
272,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
272,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
273,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
273,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
274,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
274,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
275,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
275,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
276,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
276,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
277,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
277,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
278,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
278,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
279,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
279,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
280,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
280,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
281,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
281,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
282,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
282,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
283,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
283,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
284,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
284,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
285,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
285,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
286,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
286,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
287,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
287,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
288,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
288,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
289,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
289,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
290,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
290,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
291,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
291,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
292,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
292,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
293,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
293,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
294,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
294,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
295,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
295,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
296,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
296,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
297,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
297,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
298,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
298,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
299,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
299,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
300,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
300,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
301,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,0
301,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,1
302,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
302,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
303,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
303,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
304,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
304,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
305,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
305,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
306,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
306,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
307,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
307,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
308,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
308,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
309,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
309,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
310,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
310,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
311,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
311,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
312,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
312,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
313,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
313,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
314,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
314,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
315,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
315,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
316,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
316,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
317,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
317,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
318,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
318,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
319,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
319,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
320,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
320,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
321,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,0
321,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,1
322,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
322,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
323,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
323,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
324,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
324,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
325,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
325,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
326,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
326,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
327,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
327,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
328,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
328,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
329,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
329,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
330,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
330,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
331,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
331,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
332,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
332,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
333,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
333,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
334,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
334,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
335,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
335,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
336,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
336,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
337,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
337,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
338,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
338,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
339,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
339,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
340,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
340,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
341,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
341,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
342,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
342,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
343,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
343,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
344,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
344,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
345,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
345,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
346,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
346,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
347,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
347,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
348,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
348,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
349,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
349,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
350,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
350,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
351,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
351,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
352,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
352,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
353,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
353,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
354,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
354,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
355,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
355,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
356,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
356,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
357,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,1
357,B,12 LPA,Tier-1,Startup,Fast,Good,Low,0
358,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
358,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
359,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,1
359,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,0
360,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
360,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
361,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
361,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
362,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
362,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
363,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
363,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
364,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
364,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
365,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
365,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
366,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
366,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
367,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
367,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
368,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
368,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
369,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
369,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
370,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
370,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
371,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
371,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
372,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
372,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
373,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
373,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
374,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
374,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
375,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
375,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
376,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
376,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
377,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
377,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
378,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
378,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
379,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
379,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
380,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
380,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
381,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
381,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
382,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
382,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
383,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
383,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
384,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
384,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
385,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,0
385,B,10 LPA,Tier-3,Startup,Fast,Good,Low,1
386,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
386,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
387,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
387,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
388,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
388,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
389,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
389,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
390,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
390,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
391,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
391,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
392,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
392,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
393,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
393,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
394,A,12 LPA,Tier-3,PSU,Slow,Good,High,1
394,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,0
395,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
395,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
396,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
396,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
397,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
397,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
398,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,0
398,B,10 LPA,Tier-3,PSU,Slow,Good,High,1
399,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
399,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
400,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,1
400,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,0
401,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
401,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
402,A,10 LPA,Tier-1,PSU,Moderate,Good,High,1
402,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,0
403,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,0
403,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,1
404,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
404,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
405,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
405,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
406,A,8 LPA,Tier-2,PSU,Moderate,Good,High,0
406,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,1
407,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
407,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
408,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
408,B,10 LPA,Tier-3,PSU,Slow,Good,High,0
409,A,12 LPA,Tier-1,Startup,Fast,Poor,Low,0
409,B,8 LPA,Tier-1,PSU,Moderate,Excellent,High,1
410,A,12 LPA,Tier-3,MNC,Slow,Good,Medium,0
410,B,10 LPA,Tier-1,MNC,Fast,Good,Medium,1
411,A,12 LPA,Tier-2,MNC,Moderate,Good,Medium,1
411,B,12 LPA,Tier-3,Startup,Fast,Poor,Low,0
412,A,10 LPA,Tier-1,PSU,Moderate,Good,High,0
412,B,10 LPA,Tier-2,Startup,Fast,Excellent,Medium,1
413,A,8 LPA,Tier-2,Startup,Fast,Poor,Low,1
413,B,8 LPA,Tier-3,MNC,Slow,Good,Medium,0
414,A,12 LPA,Tier-3,PSU,Slow,Good,High,0
414,B,12 LPA,Tier-2,MNC,Moderate,Excellent,Medium,1
415,A,10 LPA,Tier-1,MNC,Fast,Excellent,Medium,1
415,B,10 LPA,Tier-3,Startup,Fast,Good,Low,0
416,A,8 LPA,Tier-2,PSU,Moderate,Good,High,1
416,B,8 LPA,Tier-1,MNC,Slow,Excellent,Medium,0
417,A,12 LPA,Tier-3,MNC,Fast,Poor,Medium,0
417,B,12 LPA,Tier-1,Startup,Fast,Good,Low,1
418,A,10 LPA,Tier-2,Startup,Moderate,Excellent,Medium,1
